문서ID,도메인,제목,제안등급(목표),룰,LLM,S,V,M,곱,근거요약,검수자_확정등급,검수자_사유,검수자명
G500-S1-038,bio,신약 후보물질 [X-203] 임상 2상 연구 노트,S1(1급비밀),TS,TS,2,2,2,8,"신약 후보물질의 임상 데이터, 경쟁사 분석, 원가 구조 등 고유한 경제적 가치와 엄격한 비밀관리로 TS 등급",,,
G500-S1-039,hr,2024년도 임원급 보상 체계 개편안,S1(1급비밀),S2,S2,1,1,2,2,"내부 검토 자료로 외부 공유 금지(비공지성 S=1), 경영 전략과 관련된 보상 체계 개편(경제적 유용성 V=1), 임원 및 HR 팀장급 이상에 한해 공유(비밀관리",,,
G500-S1-041,tech,인공지능 기반 예측 모델 핵심 알고리즘 설계 및 검증 보고서,S1(1급비밀),S1,TS,2,2,2,8,"고객사별 특화 알고리즘, 높은 개발 비용(15.5억 원), 내부 보안 서버 저장 및 특허 출원 예정으로 비공지성·경제적 가치·비밀관리성이 모두 최고 수준",,,
G500-S1-042,ai,딥러닝 모델 가중치 관리 및 최적화 가이드라인 [가상기업A] AI 연구소,S1(1급비밀),TS,TS,2,2,2,8,"문서는 고유한 AI 모델의 핵심 가중치 관리 프로세스, 보안 절차, 학습 데이터 구성, 최적화 알고리즘 성능 등 경쟁사가 쉽게 접근할 수 없는 기술 정보를 포함하",,,
G500-S1-043,bio,신약 후보물질 연구노트: [가상기업A] 프로젝트 '알파-7' 핵심 기술서,S1(1급비밀),S1,TS,2,2,2,8,"프로젝트의 핵심 R&D 기술, 특수 촉매 개발 방식, 임상시험 전략 등 경쟁사 차단을 위한 엄격한 비공개 조치와 상당한 경제적 가치, 제한된 인원에 대한 관리로 ",,,
G500-S1-044,hr,임원 보상 체계 및 평가 기준,S1(1급비밀),S3,TS,2,2,2,8,"임원 보상 구조 및 평가 기준은 외부에 노출되지 않으며, 보안 서버·암호화 폴더·보안 클라우드 등 엄격한 접근 제한이 적용되어 있어 비공지성(S=2)과 경제적 유",,,
G500-S1-046,tech,AI-Powered Predictive Maintenance System Developme,S1(1급비밀),S3,S1,1,2,2,4,"핵심 기술 노하우와 경영 전략, 고비용 R&D 투자, 경쟁사 대비 빠른 출시 일정 등 경제적 가치가 높고, 보유자 통하지 않으면 알 수 없는 정보로 비밀관리가 철",,,
G500-S1-047,ai,AI 사전학습 데이터셋 구성 및 처리 가이드라인,S1(1급비밀),S3,TS,2,2,2,8,"비공개된 고유한 데이터셋 구조와 처리 방식, 경쟁력 있는 성능 향상 효과, 엄격한 보안 관리로 TS 등급",,,
G500-S1-048,bio,신약 후보물질 [X-123] 연구노트,S1(1급비밀),S1,TS,2,2,2,8,"핵심 연구 정보와 핵심 공정 노하우는 외부 유출 시 경쟁력 저하 위험, 경제적 가치 높음, 보안 서버 저장 등 철저한 비밀관리로 TS 등급",,,
G500-S1-049,hr,2024년도 임원 및 팀장급 인력 재평가 및 보상 체계 개편안 (안),S1(1급비밀),S2,TS,2,2,2,8,"문서는 외부 공유 금지, 보안 서버 접근 제한, 클라우드 시스템 권한 분리 등 강력한 비밀관리를 적용하고 있으며, 성과 평가 체계에 따른 인사/재무 영향으로 경제",,,
G500-S1-050,finance,2024년도 제3차 자금조달 계획 및 실행 전략,S1(1급비밀),S3,TS,2,2,2,8,"문서는 외부 공유 금지이며 임원 이상만 접근 가능하므로 비공지성(S=2), 고액 투자 및 기술 개발 계획으로 경제적 유용성(V=2), 엄격한 비밀관리(M=2)를 ",,,
G500-S1-051,tech,2024 Q3 핵심 제조 공정 최적화 연구 보고서,S1(1급비밀),S3,TS,2,2,2,8,"문서는 신규 공정 기술, 특수 소재 공급 계약, 고객사 맞춤형 데이터 등 고유한 비공개 정보를 포함하며, 경제적 가치가 크고 엄격한 비밀관리가 적용되어 TS로 분",,,
G500-S1-052,ai,2024년 Q3 AI 모델 핵심 알고리즘 최적화 프로젝트 기술 보고서,S1(1급비밀),S1,TS,2,2,2,8,"핵심 기술 사항과 고비용 인프라 구조, 엄격한 접근 제어로 비공지성(S=2), 경제적 가치(V=2), 비밀관리성(M=2)을 충족하여 TS 등급",,,
G500-S1-053,bio,FDA 승인을 위한 [가상기업A] 신약 후보 물질 'BioCure' 전략 기획서,S1(1급비밀),S1,TS,2,2,2,8,"문서는 FDA 승인 전략, 신약 후보 물질의 임상 데이터, 비공개 기술 기반의 원가 구조 분석 등 고유한 경제적 가치와 강력한 비밀관리를 통해 비공지성과 경제적 ",,,
G500-S1-054,hr,2024년도 임원급 인사 평가 및 보상 체계 운영 안,S1(1급비밀),TS,S1,1,2,2,4,"문서는 임원급 보상 체계 및 R&D 전략 등 경제적 가치가 높은 정보를 포함하며, 엄격한 접근 제어가 적용되어 비밀관리성이 높으나 외부 공개 시 유출 위험 경고로",,,
G500-S1-055,finance,2024년 상반기 자본 조달 전략 및 실행 계획,S1(1급비밀),S3,S1,1,2,2,4,"자금 조달 전략과 자금 사용 계획 등 경쟁사가 알면 경영적 우위를 잃을 수 있는 정보로, 내부 보안 검토와 제한된 공유 관리가 이루어지고 있어 비밀관리성이 높음",,,
G500-S1-056,tech,AI 알고리즘 개발 프로젝트 내부 보고서,S1(1급비밀),S1,TS,2,2,2,8,"문서는 개발 중인 핵심 알고리즘 설계와 고객사 특화 요구사항, 성능 개선 데이터 등 경제적 가치가 높고, 외부 유출 시 경쟁력 저하 위험이 큰 정보로, 엄격한 접",,,
G500-S1-057,ai,AI 모델 사전학습 데이터셋 구축 가이드라인,S1(1급비밀),S3,TS,2,2,2,8,"문서는 독자적 자연어 처리 기술과 암호화 방식, 고객 맞춤형 데이터 등 경쟁사 우위를 무력화시킬 수 있는 핵심 정보를 포함하며, 엄격한 접근 제어와 보안 관리가 ",,,
G500-S1-058,bio,신약 후보물질 XYZ-2024 임상 1상 시험 프로토콜,S1(1급비밀),S3,TS,2,2,2,8,"임상시험 설계 및 데이터 관리 방식이 경제적 가치가 높고, 외부 공유가 엄격히 금지되어 비밀관리성이 높으며, 일반적 접근이 불가능한 정보로 비공지성이 높아 TS ",,,
G500-S1-059,hr,2024년도 임원급 보상 체계 및 인사 이동안,S1(1급비밀),S3,TS,2,2,2,8,"임원급 보상 체계는 회사 경쟁력과 조직 안정성에 직접적 영향을 미치며, HR 본부 내부에 한해 엄격히 관리되고 있어 비공지성(S=2), 경제적 유용성(V=2), ",,,
G500-S1-060,finance,2024년도 제2차 자금 조달 계획안,S1(1급비밀),TS,S1,1,2,2,4,"문서는 경쟁사 기술 유출 가능성과 대규모 투자 계획 등 고액 자금 조달 전략을 담고 있어 경제적 가치가 높고, 경영진 및 특정 부서에 한해 접근 권한을 제한하는 ",,,
G500-S1-061,tech,AI 핵심 알고리즘 개선 방안 (2024 Q3),S1(1급비밀),S3,TS,2,2,2,8,"문서는 경쟁사 대비 성능 차이, 하이퍼파라미터 설정, 데이터 증강 기법, 보안 조건 등 핵심 기술 정보를 포함하며, AES-256 암호화와 역할 기반 접근 제어 ",,,
G500-S1-062,ai,AI 핵심 알고리즘 최적화 전략 및 데이터 관리 프로토콜 (2024년 4분기),S1(1급비밀),S3,TS,2,2,2,8,"문서는 개발 중인 전용 언어모델의 핵심 알고리즘과 성능 개선 전략을 담고 있으며, 외부 접근이 엄격히 제한된 심층 보안 서버에 저장되어 있어 비공지성(S=2)과 ",,,
G500-S1-064,hr,인재 전략 분기별 실행 계획,S1(1급비밀),S2,S1,2,1,2,4,"인사 전략과 평가 기준은 경쟁사 분석 역량 약화 등 경제적 피해 가능성이 있으나, 내부 서버 암호화 및 외부 공유 제한으로 비밀관리성이 높아 S1",,,
G500-S1-065,finance,2023년도 4분기 결산 초안 및 주요 재무 지표 검토,S1(1급비밀),S1,TS,2,2,2,8,"문서는 외부 공유가 엄격히 금지되며, 고객사별 매출 비중과 미공개 전략 등 경쟁력에 영향을 줄 수 있는 정보를 포함하고 있어 비공지성(S=2)과 경제적 유용성(V",,,
G500-S1-066,tech,2023년 Q3 핵심 제조 공정 최적화 연구 보고서,S1(1급비밀),S1,TS,2,2,2,8,"문서는 핵심 제조 공정, 고객사 데이터, 미공개 마케팅 전략 등 경제적 가치가 높고 비공개 상태이며, 보안 강화가 요구되는 정보를 포함하여 비공지성(S), 경제적",,,
G500-S1-067,ai,Deep Learning Model Weight Management and Optimiza,S1(1급비밀),S3,TS,2,2,2,8,"문서는 엄격한 접근 제어, 암호화, 버전 관리, 외부 전달 모니터링 등으로 비공지성(S=2)과 비밀관리성(M=2)이 높고, 모델 경쟁력 유지 및 고객 데이터 보호",,,
G500-S1-068,bio,FDA 승인 전략 및 임상 3상 데이터 관리 방안,S1(1급비밀),S1,TS,2,2,2,8,"비공지성(S=2: 외부 접근 불가능), 경제적 유용성(V=2: 신약 개발 및 FDA 승인에 직접적 영향), 비밀관리성(M=2: 엄격한 암호화·접근 제한·내부 보안",,,
G500-S1-069,hr,2024년도 임원급 인센티브 및 승진 기준 안내,S1(1급비밀),S3,S1,2,2,1,4,"문서는 내부 인사 평가 기준과 보상 체계를 포함하며, 경쟁사 분석에 영향을 줄 수 있는 핵심 정보로 외부 유출 위험이 있으나, 임원 및 팀장급에 한해 공유됨",,,
G500-S1-070,finance,2024년도 제3차 시리즈A 투자 유치 실행 계획,S1(1급비밀),TS,S1,1,2,2,4,"투자 유치 전략 및 재무 계획 등 경제적 가치가 높고 엄격한 비밀관리 절차를 적용한 정보로, 비공지성은 외부에 공개되지 않았으나 향후 공개 예정인 내용을 포함하고",,,
G500-S1-071,tech,AI 기반 자동화 플랫폼 핵심 알고리즘 설명서,S1(1급비밀),S3,TS,2,2,2,8,"핵심 알고리즘과 전용 모델 기반의 경제적 가치, 엄격한 비밀관리로 특급기밀로 분류",,,
G500-S1-072,ai,AI 플랫폼 핵심 알고리즘 특허 전략 및 고객 데이터 관리 가이드라인,S1(1급비밀),TS,TS,2,2,2,8,"문서는 경쟁사 접근이 어려운 핵심 알고리즘과 특허 출원 중인 기술, 엄격한 데이터 관리 프로세스를 포함하여 비공지성(S=2), 경제적 가치(V=2), 강력한 비밀",,,
G500-S1-073,bio,신약 후보물질 [XYZ-001] R&D 연구노트,S1(1급비밀),S1,TS,2,2,2,8,"문서는 외부 공개 금지 및 내부 공유 제한, 경제적 가치(원가 절감, 특허 공동 보유), 고등급 비밀 관리 조치로 TS 등급에 해당",,,
G500-S1-074,hr,2024년도 임원 보상 체계 개편안 (안),S1(1급비밀),S3,TS,2,2,2,8,"임원 보상 체계는 경영 전략과 인적 자산 관리에 직접적인 영향을 미치며, 외부 공개 시 경쟁력 약화 및 인재 유출 위험이 높아 비공지성(S=2)과 경제적 유용성(",,,
G500-S1-075,finance,2024년 상반기 자금 조달 계획안,S1(1급비밀),S3,TS,2,2,2,8,"문서는 내부 협의된 자금 조달 전략과 실행 계획, 구체적인 금액 배분, 리스크 관리 방안 등 경쟁사가 알기 어려운 정보를 포함하며, 경제적 가치가 높고 승인된 자",,,
G500-S1-076,tech,고성능 데이터 처리 알고리즘 설계 및 최적화 가이드라인,S1(1급비밀),S3,TS,2,2,2,8,"문서는 외부에 공개되지 않았으며, 암호화 저장소에 보관되고 접근 권한이 제한되어 있어 비공지성(S=2)이 높고, 경쟁사 대비 30% 빠른 성능과 60% 데이터 중",,,
G500-S1-077,ai,심층 강화학습 기반 보상 설계 프레임워크 (v2.1),S1(1급비밀),TS,TS,2,2,2,8,"문서는 핵심 알고리즘의 보상 함수 구조, 암호화된 데이터셋 사용 제한, 엄격한 보안 검증 절차 등 경쟁사가 쉽게 접근할 수 없는 정보를 포함하며, 고비용·고노력 ",,,
G500-S1-078,bio,FDA 승인 전략 기획서 (프로젝트명: 신약 후보물질 X-101),S1(1급비밀),TS,S1,1,2,2,4,"문서는 FDA 승인 전략, 임상시험 데이터, 제조 공정 노하우 등 경쟁사가 접근하기 어려운 정보를 포함하며, 경제적 가치가 높고 엄격한 비밀관리가 적용되어 있음.",,,
G500-S1-079,hr,2024년도 임원 보상 체계 및 성과 기준 안,S1(1급비밀),S1,TS,2,2,2,8,"문서는 임원급 이상 인사만 접근 가능하고 외부 공유가 금지되며, 핵심 성과 지표와 보상 체계가 포함되어 있어 비공지성(S=2), 경제적 유용성(V=2), 비밀관리",,,
G500-S1-080,finance,2024년도 제2차 자금조달 전략 및 실행 계획,S1(1급비밀),S3,S1,2,2,1,4,"재무 전략 문서는 내부 협의 및 실행 계획을 포함하며, 외부에 공개되지 않았으나 특정 금융기관과의 협상 내용 등이 포함되어 경제적 가치가 높고, 일부 내부 인원과",,,
G500-S1-081,tech,2024년 Q3 인공지능 기반 자동화 플랫폼 핵심 알고리즘 설계 명세서,S1(1급비밀),S1,TS,2,2,2,8,"문서는 개발 중인 차세대 AI 플랫폼의 핵심 알고리즘 설계 사양을 포함하며, R&D 팀장 이상 임원만 접근 가능하고, 경제적 가치가 높고 강한 비밀관리가 적용되어",,,
G500-S1-082,ai,AI 핵심 알고리즘 최적화 전략 및 자원 배분 가이드라인 2024 Q3,S1(1급비밀),S3,TS,2,2,2,8,"문서는 AI 핵심 알고리즘 구조, 트레이닝 데이터셋 특성, 성능 최적화 전략 등 경쟁사 기술 역전 및 고객사 이탈 위험을 유발할 수 있는 고도로 기밀성이 높은 정",,,
G500-S1-083,bio,신약 후보물질 [X-2023-045] 임상시험 프로토콜 및 합성 경로 기술서,S1(1급비밀),TS,TS,2,2,2,8,"신규 항암제 후보물질의 핵심 R&D 전략, 임상시험 설계, 원가 분석 등 경제적 가치가 높고 비밀관리가 철저한 정보로, 외부 유출 시 경쟁력 상실 위험이 크다.",,,
G500-S1-084,hr,2024년도 임원 평가 및 보상 체계 개선안,S1(1급비밀),S1,S2,1,2,1,2,"임원 평가 기준과 보상 체계는 조직 경영 전략과 직결된 경제적 가치가 있으나, 내부 인사 이동 및 협력 지표 등 일부 정보만 공유되는 비밀관리 수준을 갖는다.",,,
G500-S1-085,finance,2024년 제4분기 자금 조달 계획서,S1(1급비밀),S3,S1,1,2,2,4,"자금 조달 방안 및 R&D 투자 계획 등 경제적 가치가 높고, 정보 보호팀과의 협업으로 비밀관리가 체계적으로 이루어졌으나 외부에 공개되지 않았으므로 S1",,,
G500-S1-086,tech,AI 기반 고객 분석 알고리즘 최적화 프로젝트 기술 사양서,S1(1급비밀),S1,TS,2,2,2,8,"AI 기반 고객 분석 알고리즘의 핵심 기술 구조와 성능 데이터가 경쟁사 우위를 좌우할 수 있는 고가치 정보로, 엄격한 접근 제어와 암호화 보안이 적용되어 있다.",,,
G500-S1-087,ai,AI 핵심 알고리즘 특허 전략 및 모델 가중치 관리 가이드,S1(1급비밀),TS,TS,2,2,2,8,"문서는 핵심 알고리즘 특허 전략, 모델 가중치 관리 프로토콜, 고객 데이터 처리 정책 등 고유한 기술적·운영적 정보를 포함하며, 외부 공개 시 경쟁력과 보안에 심",,,
G500-S1-088,bio,신약 후보물질 [X-2023-09] 연구노트,S1(1급비밀),TS,S2,1,2,1,2,"문서는 항암제 후보물질의 합성 경로, 임상시험 계획, FDA 승인 전략 등 경제적 가치가 높은 정보를 포함하지만, 외부 공개 시 유출 위험을 경고하는 내용은 없으",,,
G500-S1-089,hr,2024년도 임원 보상 체계 및 평가 기준,S1(1급비밀),S3,S1,2,1,2,4,"임원 보상 체계는 내부 관리 및 경영 전략과 관련된 정보로, 외부 공개 시 경영 구조 파악을 유도할 수 있으나 경제적 가치는 중간 수준이며, 보안 서버 저장 및 ",,,
G500-S1-090,finance,2024년도 제2차 자금조달 계획 및 예산 확보 방안,S1(1급비밀),S3,TS,2,2,2,8,"문서는 외부 공유가 엄격히 금지되고 내부 보안 프로토콜을 준수한 상태로 확정되었으며, 재무 계획과 자금 사용 내역이 분기별 보고서에 포함되지 않아 비공지성(S=2",,,
G500-S1-091,tech,AI 알고리즘 최적화 연구 결과 보고서,S1(1급비밀),S1,S2,1,2,1,2,"문서는 차세대 AI 알고리즘 개발에 대한 구체적인 기술적 성과와 경영 전략을 포함하며, 외부에 공개되지 않았으나 내부 연구팀과 외부 전문가에 한해 공유된 것으로 ",,,
G500-S1-092,ai,AI 플랫폼 핵심 알고리즘 특허 전략 및 보안 관리 지침,S1(1급비밀),TS,TS,2,2,2,8,"문서는 고유한 알고리즘 설계 요소와 고객 데이터 보안 프로세스, 대규모 R&D 투자 및 법적 검토 계획 등 경제적 가치가 높고, 내부 보안 서버 저장, 암호화 A",,,
G500-S1-093,bio,신약 후보물질 X-123의 합성 경로 및 임상 전략,S1(1급비밀),TS,S3,0,0,0,0,,,,
G500-S1-094,hr,2024년도 임원급 인사 평가 및 보상 체계 개요,S1(1급비밀),S2,S2,1,1,1,1,"임원급 인사 평가 및 보상 체계는 내부 관리자에게만 공유되며, 경제적 가치가 있으나 외부 공개 시 유출 위험을 경고하는 내용을 포함합니다.",,,
G500-S1-095,finance,2024년 제4분기 주요 고객사별 매출 전망 및 원가 구조 분석 보고서,S1(1급비밀),S1,TS,2,2,2,8,"문서는 미래 매출 전망, 원가 구조, 마케팅 전략, 재무 계획 등 경쟁사에 대한 우위를 유지하기 위한 핵심 정보를 포함하며, 외부에 공개되지 않았고, 내부에서 엄",,,
G500-S1-096,tech,AI 기반 고객 행동 예측 알고리즘 설계 및 최적화 기준,S1(1급비밀),S1,TS,2,2,2,8,"알고리즘은 경쟁사의 전략 방해와 수익 구조 무력화에 기여하는 고유한 기술로, 엄격한 암호화 및 접근 제한으로 보호되어 비공지성과 경제적 가치, 비밀관리성이 모두 ",,,
G500-S1-097,ai,강화학습 인하우스 피드백 시스템 보상 설계 지침 (Ver 2.1),S1(1급비밀),TS,TS,2,2,2,8,"문서는 내부 제한 접근 및 암호화 저장, 고비용 개발 데이터 기반의 핵심 알고리즘 설계 기준을 포함하여 비공지성과 경제적 가치, 엄격한 비밀관리를 모두 만족합니다",,,
G500-S1-098,bio,신약 후보 물질 X-213의 FDA 승인 전략 기획서,S1(1급비밀),S1,TS,2,2,2,8,"문서는 FDA 승인 전략, 임상시험 데이터, 원가 구조, 고객사 협약, 마케팅 전략 등 고유한 경제적 가치와 강력한 비밀관리를 통해 보호된 정보를 포함하고 있어 ",,,
G500-S1-099,hr,2024년도 임원 및 팀장급 보상 체계 및 성과 평가 기준,S1(1급비밀),S1,TS,2,2,2,8,"문서는 고위 임원 및 팀장급의 보상 체계와 성과 평가 기준을 포함하며, 경쟁사의 가격 역산에 영향을 줄 수 있는 민감 정보로, 엄격한 비밀 관리와 고등급의 경제적",,,
G500-S1-100,finance,2024년도 상반기 주요 고객사별 매출 분포 및 원가 구조 분석 보고서,S1(1급비밀),S2,S2,1,2,1,2,"문서는 주요 고객사별 매출 분포, 원가 구조, 손익 추정, 자금 조달 계획 등 경영 전략에 직접적인 영향을 미치는 핵심 재무 정보를 포함하며, 외부 공개 시 경쟁",,,
G500-S1-101,tech,2024 Q3 핵심 제조 공정 최적화 연구 보고서,S1(1급비밀),S3,TS,2,2,2,8,"핵심 기술 개발 계획과 경제적 효과, 엄격한 비밀관리로 특급기밀(TS)에 해당",,,
G500-S1-102,ai,AI 핵심 알고리즘 특허 포트폴리오 전략 및 보호 계획(2024-2026),S1(1급비밀),S1,TS,2,2,2,8,"문서는 핵심 알고리즘 특허 전략, R&D 투자 비중, 기밀 유지 프로토콜 등 고유한 기술 및 전략 정보를 포함하며, 외부 공개 시 경쟁력 상실 위험이 크고, 엄격",,,
G500-S1-103,bio,신약 후보물질 'X-101' 연구노트 (프로젝트 코드: BX-2023),S1(1급비밀),TS,TS,2,2,2,8,"신규 항암 후보물질 합성 경로, 임상시험 데이터, 원가 구조, FDA 승인 전략 등 모두 경제적 가치가 높고, 외부 공개 시 경쟁력 손실 위험이 크며, 내부 승인",,,
G500-S1-104,hr,2024년도 경영진 연봉 구조 및 성과 연동 지침,S1(1급비밀),S3,S3,0,0,0,0,,,,
G500-S1-107,ai,AI 핵심 모델 가중치 관리 및 최적화 가이드라인 (2024 Q3 버전),S1(1급비밀),TS,TS,2,2,2,8,"자율주행 AI 핵심 모델의 가중치 관리 프로세스는 외부 공개 금지, 고위 임원 제한 접근, 복잡한 암호화 및 보안 절차로 비공지성(S=2)과 비밀관리성(M=2)이",,,
G500-S1-108,bio,신약 후보물질 [X-302]의 합성 경로 및 생체활성 평가 보고서,S1(1급비밀),S1,TS,2,2,2,8,"문서는 신약 후보물질의 핵심 합성법, 생체활성 데이터, 임상 일정 등 경쟁사가 접근하기 어려운 고도로 비공개된 정보로, 경제적 가치가 크고 엄격한 비밀관리가 적용",,,
G500-S1-109,hr,2023년도 임원 및 팀장급 인사 평가 및 보상 체계 안,S1(1급비밀),S3,TS,2,2,2,8,"문서는 외부 공유가 엄격히 금지된 핵심 인력 관리 전략과 경쟁사 대응 방안을 포함하며, 엄격한 보안 절차와 접근 권한 제한이 적용되어 있어 비공지성(S=2), 경",,,
G500-S1-110,finance,2024년도 제2四분기 자금 조달 및 재무 전략 방향,S1(1급비밀),S2,S1,1,2,2,4,"재무 전략 및 고객 데이터 등 경제적 가치가 높고, 팀장급 이상에 한해 접근 가능한 비밀관리로 S1에 해당",,,
G500-S1-112,ai,Reinforcement Learning with Human Feedback (RLHF) ,S1(1급비밀),TS,TS,2,2,2,8,"문서는 외부 공개 금지, 엄격한 보안 프로토콜 적용, 핵심 고객사 데이터 포함 등으로 비공지성(S=2)과 비밀관리성(M=2)이 높고, 고비용·고노력 투입된 RLH",,,
G500-S1-113,bio,임상 3상 시험 프로토콜: [가상신약A] 치료제의 안정성 및 효능 평가,S1(1급비밀),S1,TS,2,2,2,8,"임상시험 프로토콜은 신약 개발의 핵심 정보로, 경제적 가치가 크고 엄격한 비밀관리가 적용되어 있다.",,,
G500-S1-114,hr,2024년도 임원급 인력 보상 체계 및 성과 연동 기준,S1(1급비밀),S3,TS,2,2,2,8,"문서는 외부 공유 금지 및 제한된 인력 접근만 허용되어 비공지성(S=2)이 높고, 인력 유치 전략과 조직 안정성에 중요한 경제적 가치(V=2)를 가지며, 엄격한 ",,,
G500-S1-116,tech,핵심 제조 공정 최적화 연구 보고서,S1(1급비밀),S3,TS,2,2,2,8,"비공개 정보로 접근 권한이 제한되어 있고, 경제적 가치가 높으며, 엄격한 비밀 관리가 적용되어 있어 TS 등급에 해당합니다.",,,
G500-S1-117,ai,AI 핵심 알고리즘 특허 전략 및 데이터 관리 가이드라인 (2024년 1분기),S1(1급비밀),TS,TS,2,2,2,8,"문서는 핵심 알고리즘 특허 전략, 데이터 관리 방식, RLHF 보상 설계 등 고유한 기술 세부사항을 담고 있으며, 외부 유출 시 경쟁력 저하 위험이 높고 엄격한 ",,,
G500-S1-118,bio,신약 후보물질 X-2023의 합성 경로 및 임상 전략 보고서,S1(1급비밀),S1,TS,2,2,2,8,핵심 신약 개발 데이터와 경쟁사 대응 전략 등 고유한 경제적 가치와 엄격한 비밀관리로 특급기밀로 분류,,,
G500-S1-119,hr,2024년도 임원 보상 체계 및 인사 이동안,S1(1급비밀),S3,S1,1,2,2,4,"임원 보상 체계 및 인사 이동안은 경쟁사 분석과 고객 협상력에 영향을 줄 수 있는 고유한 정보로, 경제적 가치가 높고 엄격한 비밀관리가 적용되어 S1에 해당",,,
G500-S1-120,finance,2024년도 Q3 자금조달 전략 및 실행 계획,S1(1급비밀),S1,TS,2,2,2,8,"자금 조달 전략은 고액 대출, 주식 발행, 투자 유치 등 중요한 재무 결정을 포함하며, 엄격한 내부 관리와 외부 공개 금지로 비공지성과 비밀관리성이 높아 TS로 ",,,
G500-S1-121,tech,2023년 Q4 제품 A 핵심 기술 및 비용 구조 분석 보고서,S1(1급비밀),S1,TS,2,2,2,8,"문서는 핵심 제조 공정, 원가 구조, 주요 고객사 데이터, 미공개 마케팅 전략 등 경쟁력 유지에 필수적인 정보를 포함하며, 엄격한 접근 제어와 비밀관리가 적용되어",,,
G500-S1-122,ai,AI 핵심 알고리즘 특허 전략 및 데이터셋 관리 프로세스,S1(1급비밀),S1,TS,2,2,2,8,"문서는 핵심 알고리즘 특허 전략과 암호화된 사전학습 데이터셋 관리 절차를 포함하며, AES-256 암호화, 제한된 접근 권한, 외부 공유 금지 등 강력한 보안 프",,,
G500-S1-123,bio,신약 후보물질 [X-723] 임상 3상 시험 프로토콜 (개정 2023년 11월),S1(1급비밀),S1,TS,2,2,2,8,"임상 3상 프로토콜은 경쟁사 대응 및 마케팅 전략에 직접적으로 영향을 미치는 고가치 정보로, 암호화 저장 및 엄격한 접근 제어를 통해 비밀관리가 철저히 이루어져 ",,,
G500-S1-124,hr,2024년도 임원 보상 체계 개편안 (가상기업A 내부용),S1(1급비밀),S3,S2,1,2,1,2,"임원 보상 체계 개편안은 내부 결정사항으로 비공개(통상적 방법으론 입수 곤란)되며, 성과급 구조·인센티브 규모 등 경제적 가치가 높고, 일부 임직원에게만 공유되어",,,
G500-S2-000,business,제4분기 신규 파트너십 검토안 (가상기업A-023호),S2(2급대외비),S2,S1,1,2,2,4,"문서는 아직 확정되지 않은 파트너십 협의 내용으로, 외부에 공개되지 않았으나 내부 검토 중인 자료로 비공지성(S=1)을, 고액 투자 및 수익 분배 조건 등 경제적",,,
G500-S2-001,ma,2024년도 제3분기 합병 실사 보고서 (초안),S2(2급대외비),S3,S2,1,2,1,2,"문서는 합병 검토 및 재무 분석 등 내부 전략 정보로, 경제적 가치가 있으나 임직원 일부에 한해 공유됨.",,,
G500-S2-002,finance,2024년 상반기 자금 조달 계획 안,S2(2급대외비),S2,S1,1,2,2,4,"자금 조달 계획은 투자자 협상력과 주가에 영향을 줄 수 있는 고가치 정보로, 내부 검토를 위한 제한된 접근 관리가 적용됨",,,
G500-S2-006,ma,2023년 Q4 [가상기업A] 인수합병 실사 보고서 (초안),S2(2급대외비),TS,TS,2,2,2,8,"문서는 인수합병 관련 민감한 재무·영업 정보를 포함하며, 외부 공개 금지와 엄격한 내부 관리 절차가 적용되어 비공지성(S=2), 경제적 가치(V=2), 비밀관리성",,,
G500-S2-007,finance,2024년 1분기 결산 초안(임시 보류) 및 재무 전략 검토 보고서,S2(2급대외비),S2,TS,2,2,2,8,"문서는 미확정 재무 데이터와 자금 조달 방안 등 경쟁사 분석에 활용 가능한 고유한 정보를 포함하며, 외부 유출 시 시장 혼란 및 협상력 약화 등 심각한 영업비밀 ",,,
G500-S2-009,mixed,Q3 분기별 매출 예측 및 전략 검토 보고서,S2(2급대외비),S2,TS,2,2,2,8,"문서는 내부 검토 자료로 비공개이며, 매출 예측, 원가 상승, 협력 계약 등 경제적 가치가 높고, 승인된 자에 한해 공유되어 비밀관리성이 높아 TS로 분류됨.",,,
G500-S2-010,business,2024년 상반기 [가상기업A]와의 협력 사업 검토 보고서,S2(2급대외비),S2,S1,1,2,2,4,"문서는 경영전략, 재무, 법무 등 핵심 부문의 협상 조건과 예산, 특허 활용 계획 등 경제적 가치가 높은 정보를 포함하며, 내부 검토 및 보안 검토를 거쳐 관리되",,,
G500-S2-011,ma,2024년 제3사 인수 검토안,S2(2급대외비),S2,TS,2,2,2,8,"문서는 외부 공개 금지, 전략적 인수 계획 및 재무 정보 포함으로 비공지성과 경제적 유용성이 높고, 엄격한 비밀관리로 TS 등급",,,
G500-S2-013,legal,2023년 상반기 [가상기업A]와의 라이선스 계약 검토안 (내부 검토용),S2(2급대외비),S2,S3,0,0,0,0,,,,
G500-S2-014,mixed,2024년 제3분기 신규 사업 확장 전략 검토안,S2(2급대외비),S3,S1,1,2,2,4,"문서는 내부 협의 중인 전략 검토안으로, 외부에 공개되지 않았으나 기술적 검증 및 투자 유치와 같은 고비용·고노력 프로젝트와 관련되어 있으며, 내부 보안 절차가 ",,,
